municipality,district
Abertamy,['Ostrov']
Adamov,"['Čáslav', 'České Budějovice', 'Blansko']"
Adršpach,['Broumov']
Albrechtice,"['Lanškroun', 'Havířov']"
Albrechtice nad Orlicí,['Kostelec nad Orlicí']
Albrechtice nad Vltavou,['Písek']
Albrechtice v Jizerských horách,['Tanvald']
Albrechtičky,['Bílovec']
Alojzov,['Prostějov']
Andělská Hora,"['Karlovy Vary', 'Bruntál']"
Anenská Studánka,['Lanškroun']
Archlebov,['Kyjov']
Arneštovice,['Pelhřimov']
Arnolec,['Jihlava']
Arnoltice,['Děčín']
Aš,['Aš']
Babice,"['Říčany', 'Prachatice', 'Nový Bydžov', 'Moravské Budějovice', 'Šternberk', 'Uherské Hradiště']"
Babice nad Svitavou,['Šlapanice']
Babice u Rosic,['Rosice']
Babylon,['Domažlice']
Bakov nad Jizerou,['Mladá Boleslav']
Baliny,['Velké Meziříčí']
Balkova Lhota,['Tábor']
Bantice,['Znojmo']
Banín,['Svitavy']
Barchov,"['Nový Bydžov', 'Pardubice']"
Barchovice,['Kolín']
Bartoušov,['Havlíčkův Brod']
Bartošovice,['Nový Jičín']
Bartošovice v Orlických horách,['Rychnov nad Kněžnou']
Batelov,['Jihlava']
Batňovice,['Trutnov']
Bavorov,['Vodňany']
Bavory,['Mikulov']
Bavoryně,['Beroun']
Bačalky,['Jičín']
Bačetín,['Dobruška']
Bačice,['Třebíč']
Bačkov,['Havlíčkův Brod']
Bačkovice,['Moravské Budějovice']
Bařice-Velké Těšany,['Kroměříž']
Baška,['Frýdek-Místek']
Bašnice,['Hořice']
Bašť,['Brandýs n. Lab.-St.Boleslav']
Bdeněves,['Nýřany']
Bdín,['Rakovník']
Bechlín,['Roudnice nad Labem']
Bechyně,['Tábor']
Bedihošť,['Prostějov']
Bednárec,['Jindřichův Hradec']
Bednáreček,['Jindřichův Hradec']
Bedřichov,"['Jablonec nad Nisou', 'Boskovice']"
Benecko,['Jilemnice']
Benetice,['Třebíč']
Benešov,"['Benešov', 'Boskovice']"
Benešov nad Ploučnicí,['Děčín']
Benešov nad Černou,['Kaplice']
Benešov u Semil,['Semily']
Benešovice,['Stříbro']
Benátky,"['Hradec Králové', 'Litomyšl']"
Benátky nad Jizerou,['Mladá Boleslav']
Bernardov,['Kutná Hora']
Bernartice,"['Vlašim', 'Milevsko', 'Trutnov', 'Jeseník']"
Bernartice nad Odrou,['Nový Jičín']
Beroun,['Beroun']
Besednice,['Kaplice']
Bezdružice,['Stříbro']
Bezdědovice,['Blatná']
Bezděkov,"['Klatovy', 'Rokycany', 'Pardubice', 'Chotěboř']"
Bezděkov nad Metují,['Náchod']
Bezděkov pod Třemšínem,['Příbram']
Bezděz,['Česká Lípa']
Bezděčí u Trnávky,['Moravská Třebová']
Bezkov,['Znojmo']
Bezměrov,['Kroměříž']
Bezno,['Mladá Boleslav']
Bezuchov,['Přerov']
Bezvěrov,['Kralovice']
Bečice,"['Tábor', 'Týn nad Vltavou']"
Bečov,['Most']
Bečov nad Teplou,['Karlovy Vary']
Bečváry,['Kolín']
Beňov,['Přerov']
Beřovice,['Slaný']
Biskoupky,['Ivančice']
Biskupice,"['Chrudim', 'Moravská Třebová', 'Prostějov', 'Luhačovice']"
Biskupice-Pulkov,['Třebíč']
Bitozeves,['Žatec']
Biřkov,['Klatovy']
Blanné,['Znojmo']
Blansko,['Blansko']
Blatce,['Česká Lípa']
Blatec,['Olomouc']
Blatnice,"['Nýřany', 'Moravské Budějovice']"
Blatnice pod Svatým Antonínkem,['Veselí nad Moravou']
Blatnička,['Veselí nad Moravou']
Blatno,"['Chomutov', 'Podbořany']"
Blatná,['Blatná']
Blazice,['Bystřice pod Hostýnem']
Blažejov,['Jindřichův Hradec']
Blažejovice,['Vlašim']
Blažim,"['Nýřany', 'Žatec']"
