municipality,district
Abertamy,['Ostrov']
Adamov,"['České Budějovice', 'Čáslav', 'Blansko']"
Adršpach,['Broumov']
Albertov,['Praha']
Albrechtice,"['Havířov', 'Lanškroun']"
Albrechtice nad Orlicí,['Kostelec nad Orlicí']
Albrechtice nad Vltavou,['Písek']
Albrechtice v Jizerských horách,['Tanvald']
Albrechtičky,['Bílovec']
Aloisov,['Praha']
Alojzov,['Prostějov']
Anděl-Na Skalce,['Praha']
Andělská Hora,"['Karlovy Vary', 'Bruntál']"
Anenská Studánka,['Lanškroun']
Antala Staška,['Praha']
Arbesovo náměstí,['Praha']
Archlebov,['Kyjov']
Arneštovice,['Pelhřimov']
Arnolec,['Jihlava']
Arnoltice,['Děčín']
Autobusové nádraží Florenc,['Praha']
Aš,['Aš']
Baarova,['Praha']
Baba,['Praha']
Baba II,['Praha']
Baba III,['Praha']
Babice,"['Šternberk', 'Říčany', 'Nový Bydžov', 'Moravské Budějovice', 'Uherské Hradiště', 'Prachatice']"
Babice nad Svitavou,['Šlapanice']
Babice u Rosic,['Rosice']
Babylon,['Domažlice']
Bakov nad Jizerou,['Mladá Boleslav']
Baliny,['Velké Meziříčí']
Balkova Lhota,['Tábor']
Bantice,['Znojmo']
Banín,['Svitavy']
Baně,['Praha']
Barchov,"['Nový Bydžov', 'Pardubice']"
Barchovice,['Kolín']
Barrandov,['Praha']
Barrandov I,['Praha']
Barrandov II,['Praha']
Barrandov III,['Praha']
Barrandov IV,['Praha']
Barrandov V,['Praha']
Barrandov VI,['Praha']
Barrandov VII,['Praha']
Barrandov-ateliéry,['Praha']
Bartoušov,['Havlíčkův Brod']
Bartošovice,['Nový Jičín']
Bartošovice v Orlických horách,['Rychnov nad Kněžnou']
Batelov,['Jihlava']
Batňovice,['Trutnov']
Bavorov,['Vodňany']
Bavory,['Mikulov']
Bavoryně,['Beroun']
Bačalky,['Jičín']
Bačetín,['Dobruška']
Bačice,['Třebíč']
Bačkov,['Havlíčkův Brod']
Bačkovice,['Moravské Budějovice']
Bařice-Velké Těšany,['Kroměříž']
Baška,['Frýdek-Místek']
Bašnice,['Hořice']
Bašť,['Brandýs n. Lab.-St.Boleslav']
Bažantnice,['Praha']
Bdeněves,['Nýřany']
Bdín,['Rakovník']
Bechlín,['Roudnice nad Labem']
Bechyně,['Tábor']
Bedihošť,['Prostějov']
Bednárec,['Jindřichův Hradec']
Bednáreček,['Jindřichův Hradec']
Bedřichov,"['Boskovice', 'Jablonec nad Nisou']"
Belárie,['Praha']
Benecko,['Jilemnice']
Benetice,['Třebíč']
Benešov,"['Boskovice', 'Benešov']"
Benešov nad Ploučnicí,['Děčín']
Benešov nad Černou,['Kaplice']
Benešov u Semil,['Semily']
Benešovice,['Stříbro']
Benice,['Praha']
